frame_id,track_id,x,y,group_id
220,2,1377.6,477.6,1
220,4,710.4,372,0
220,7,362.4,489.6,0
230,4,662.4,388.8,0
230,7,412.8,484.8,0
230,8,1305.6,429.6,2
230,9,1252.8,398.4,2
230,10,1224,379.2,2
240,4,621.6,374.4,0
240,7,484.8,482.4,0
240,8,1262.4,436.8,2
240,9,1207.2,391.2,2
240,10,1171.2,381.6,2
250,4,580.8,386.4,0
250,7,554.4,494.4,0
250,8,1224,436.8,2
250,9,1152,400.8,2
250,10,1128,379.2,2
250,11,192,501.6,0
260,4,542.4,381.6,0
260,7,616.8,504,0
260,8,1188,451.2,2
260,9,1135.2,417.6,2
260,10,1089.6,388.8,2
260,11,249.6,487.2,0
270,4,501.6,398.4,0
270,7,679.2,494.4,0
270,8,1164,463.2,2
270,9,1092,422.4,2
270,10,1044,400.8,2
270,11,307.2,501.6,0
280,44,453.6,405.6,0
280,11,381.6,504,0
280,10,1024.8,403.2,2
280,9,1065.6,429.6,2
280,8,1149.6,477.6,2
280,7,724.8,511.2,0
290,4,408,403.2,0
290,7,789.6,489.6,0
290,8,1152,489.6,2
290,9,1053.6,439.2,2
290,10,988.8,420,2
290,11,444,520.8,0
300,4,360,410.4,0
300,7,847.2,511.2,0
300,8,1149.6,499.2,2
300,9,1051.2,472.8,2
300,10,967.2,434.4,2
300,11,501.6,518.4,0
310,4,321.6,417.6,0
310,7,871.2,496.8,0
310,8,1161.6,528,2
310,9,1068,482.4,2
310,10,957.6,429.6,2
310,11,556.8,511.2,0
310,13,1437.6,326.4,0
320,4,259.2,424.8,0
320,7,897.6,516,0
320,8,1164,532.8,2
320,9,1072.8,499.2,2
320,10,931.2,456,2
320,11,616.8,525.6,0
320,13,1401.6,328.8,0
330,7,952.8,506.4,0
330,8,1168.8,556.8,2
330,9,1087.2,513.6,2
330,10,912,484.8,2
330,11,674.4,520.8,0
330,12,194.4,472.8,0
330,13,1308,350.4,0
340,7,1005.6,489.6,0
340,8,1188,578.4,2
340,9,1089.6,549.6,2
340,10,890.4,475.2,2
340,11,727.2,499.2,0
340,12,244.8,484.8,0
340,13,1267.2,340.8,0
350,7,1056,484.8,0
350,8,1219.2,597.6,2
350,9,1092,561.6,2
350,10,885.6,516,2
350,11,768,518.4,0
350,12,333.6,468,0
350,13,1192.8,336,0
360,7,1113.6,492,0
360,8,1250.4,631.2,2
360,9,1096.8,602.4,2
360,10,890.4,525.6,2
360,11,811.2,520.8,0
360,12,403.2,475.2,0
360,13,1140,352.8,0
370,7,1173.6,470.4,0
370,8,1269.6,672,2
370,9,1111.2,624,2
370,10,902.4,544.8,2
370,11,878.4,528,0
370,12,477.6,465.6,0
370,13,1072.8,340.8,0
380,7,1238.4,470.4,0
380,8,1312.8,700.8,2
380,9,1135.2,667.2,2
380,10,924,592.8,2
380,11,945.6,518.4,0
380,12,544.8,477.6,0
380,13,1005.6,357.6,0
390,7,1317.6,475.2,0
390,11,1003.2,518.4,0
390,12,636,475.2,0
390,13,940.8,362.4,0
390,14,1279.2,436.8,0
400,7,1377.6,470.4,0
400,11,1075.2,501.6,0
400,12,705.6,468,0
400,13,871.2,367.2,0
400,14,1204.8,422.4,0
410,7,1456.8,465.6,0
410,11,1152,525.6,0
410,12,780,468,0
410,13,813.6,369.6,0
410,14,1125.6,432,0
420,11,1204.8,549.6,0
420,12,847.2,480,0
420,13,734.4,372,0
420,14,1039.2,448.8,0
430,11,1312.8,530.4,0
430,12,928.8,470.4,0
430,13,664.8,384,0
430,14,981.6,441.6,0
440,11,1368,528,0
440,12,1012.8,477.6,0
440,13,588,374.4,0
440,14,907.2,446.4,0
450,11,1428,537.6,0
450,12,1065.6,468,0
450,13,528,386.4,0
450,14,837.6,451.2,0
460,12,1152,468,0
460,13,446.4,393.6,0
460,14,760.8,460.8,0
470,12,1212,465.6,0
470,13,372,384,0
470,14,703.2,463.2,0
480,12,1284,470.4,0
480,13,292.8,403.2,0
480,14,621.6,468,0
490,12,1375.2,468,0
490,13,223.2,393.6,0
490,14,540,470.4,0
500,12,1447.2,484.8,0
500,13,151.2,398.4,0
500,14,465.6,465.6,0
510,14,398.4,463.2,0
520,14,328.8,463.2,0
530,14,268.8,448.8,0
530,15,1262.4,338.4,3
530,16,1454.4,362.4,3
530,17,1389.6,331.2,3
540,14,208.8,470.4,0
540,15,1221.6,348,3
540,16,1408.8,360,3
540,17,1339.2,333.6,3
550,15,1185.6,352.8,3
550,16,1348.8,352.8,3
550,17,1310.4,348,3
560,15,1125.6,360,3
560,16,1322.4,379.2,3
560,17,1269.6,352.8,3
570,15,1075.2,367.2,3
570,16,1274.4,372,3
570,17,1209.6,355.2,3
580,15,1024.8,360,3
580,16,1212,381.6,3
580,17,1176,357.6,3
590,15,974.4,372,3
590,16,1168.8,376.8,3
590,17,1137.6,364.8,3
600,15,916.8,367.2,3
600,16,1116,381.6,3
600,17,1080,367.2,3
610,15,868.8,367.2,3
610,16,1072.8,384,3
610,17,1039.2,367.2,3
620,15,823.2,384,3
620,16,1015.2,393.6,3
620,17,1003.2,357.6,3
630,15,777.6,388.8,3
630,16,952.8,384,3
630,17,967.2,367.2,3
640,15,727.2,393.6,3
640,16,902.4,396,3
640,17,926.4,376.8,3
650,15,684,393.6,3
650,16,856.8,405.6,3
650,17,880.8,376.8,3
650,19,156,494.4,5
650,20,192,472.8,5
660,5,676.8,357.6,4
660,6,556.8,381.6,4
660,15,616.8,391.2,3
660,16,799.2,393.6,3
660,17,849.6,374.4,3
660,19,213.6,501.6,5
660,20,223.2,470.4,5
670,5,667.2,362.4,4
670,6,542.4,381.6,4
670,15,576,403.2,3
670,16,744,410.4,3
670,17,808.8,388.8,3
670,18,1411.2,376.8,0
670,19,264,494.4,5
670,20,288,463.2,5
680,5,664.8,372,4
680,6,554.4,374.4,4
680,15,499.2,398.4,3
680,16,696,408,3
680,17,751.2,388.8,3
680,18,1370.4,393.6,0
680,19,314.4,496.8,5
680,20,321.6,463.2,5
690,5,662.4,376.8,4
690,6,552,384,4
690,15,429.6,393.6,3
690,16,640.8,420,3
690,17,746.4,384,3
690,18,1293.6,391.2,0
690,19,374.4,492,5
690,20,388.8,463.2,5
700,5,638.4,381.6,4
700,6,549.6,400.8,4
700,15,372,424.8,3
700,16,576,422.4,3
700,17,729.6,393.6,3
700,18,1236,396,0
700,19,432,489.6,5
700,20,448.8,460.8,5
710,5,628.8,381.6,4
710,6,528,393.6,4
710,15,333.6,417.6,3
710,16,511.2,427.2,3
710,17,688.8,393.6,3
710,18,1173.6,403.2,0
710,19,487.2,480,5
710,20,501.6,458.4,5
720,5,604.8,391.2,4
720,6,528,405.6,4
720,15,276,424.8,3
720,16,465.6,424.8,3
720,17,638.4,405.6,3
720,18,1128,405.6,0
720,19,532.8,487.2,5
720,20,561.6,465.6,5
730,5,597.6,410.4,4
730,6,525.6,412.8,4
730,15,232.8,417.6,3
730,16,391.2,427.2,3
730,17,566.4,422.4,3
730,18,1077.6,417.6,0
730,19,597.6,489.6,5
730,20,609.6,460.8,5
730,24,744,348,7
730,25,679.2,362.4,7
740,5,580.8,412.8,4
740,6,492,427.2,4
740,18,1008,410.4,0
740,19,657.6,489.6,5
740,20,657.6,458.4,5
740,24,736.8,367.2,7
740,25,691.2,364.8,7
750,5,576,422.4,4
750,6,484.8,451.2,4
750,18,948,415.2,0
750,19,700.8,484.8,5
750,20,700.8,456,5
750,24,727.2,367.2,7
750,25,667.2,369.6,7
760,5,556.8,432,4
760,6,444,439.2,4
760,18,873.6,434.4,0
760,19,756,480,5
760,20,739.2,441.6,5
760,24,724.8,364.8,7
760,25,652.8,372,7
770,5,556.8,441.6,4
770,6,429.6,470.4,4
770,18,844.8,434.4,0
770,19,816,475.2,5
770,20,796.8,446.4,5
770,24,705.6,364.8,7
770,25,643.2,372,7
780,5,556.8,446.4,4
780,6,403.2,477.6,4
780,18,777.6,434.4,0
780,19,866.4,482.4,5
780,20,840,446.4,5
780,24,693.6,386.4,7
780,25,626.4,391.2,7
790,5,544.8,472.8,4
790,6,391.2,489.6,4
790,18,727.2,434.4,0
790,19,909.6,468,5
790,20,885.6,441.6,5
790,24,681.6,384,7
790,25,602.4,400.8,7
800,5,520.8,468,4
800,6,364.8,496.8,4
800,18,674.4,441.6,0
800,19,967.2,468,5
800,20,945.6,441.6,5
800,24,664.8,410.4,7
800,25,590.4,403.2,7
810,5,516,494.4,4
810,6,338.4,511.2,4
810,18,616.8,436.8,0
810,19,1000.8,468,5
810,20,988.8,434.4,5
810,24,640.8,398.4,7
810,25,580.8,405.6,7
820,5,520.8,508.8,4
820,6,338.4,537.6,4
820,18,561.6,441.6,0
820,19,1056,468,5
820,20,1036.8,429.6,5
820,24,628.8,412.8,7
820,25,561.6,420,7
830,5,487.2,530.4,4
830,6,316.8,540,4
830,18,501.6,429.6,0
830,19,1116,477.6,5
830,20,1092,432,5
830,24,600,410.4,7
830,25,540,420,7
840,5,477.6,561.6,4
840,6,288,566.4,4
840,18,444,432,0
840,19,1173.6,470.4,5
840,20,1140,424.8,5
840,24,592.8,424.8,7
840,25,528,424.8,7
850,5,480,564,4
850,6,271.2,578.4,4
850,18,388.8,432,0
850,19,1224,465.6,5
850,20,1185.6,420,5
850,24,568.8,439.2,7
850,25,525.6,444,7
860,5,458.4,578.4,4
860,6,280.8,600,4
860,18,326.4,429.6,0
860,19,1281.6,456,5
860,20,1233.6,422.4,5
860,21,1159.2,597.6,0
860,24,564,446.4,7
860,25,499.2,444,7
870,5,434.4,597.6,4
870,6,242.4,616.8,4
870,18,290.4,427.2,0
870,19,1322.4,470.4,5
870,20,1276.8,422.4,5
870,21,1116,578.4,0
870,24,544.8,451.2,7
870,25,480,456,7
880,5,424.8,619.2,4
880,6,220.8,652.8,4
880,18,216,424.8,0
880,19,1387.2,465.6,5
880,20,1332,410.4,5
880,21,1104,544.8,0
880,24,528,470.4,7
880,25,465.6,460.8,7
890,5,384,650.4,4
890,6,199.2,669.6,4
890,18,170.4,434.4,0
890,19,1442.4,463.2,5
890,20,1387.2,408,5
890,21,1089.6,520.8,0
890,24,518.4,470.4,7
890,25,434.4,472.8,7
900,21,1072.8,508.8,0
900,24,494.4,484.8,7
900,25,415.2,480,7
910,21,1063.2,511.2,0
910,24,472.8,494.4,7
910,25,398.4,504,7
920,21,1072.8,484.8,0
920,24,463.2,518.4,7
920,25,388.8,506.4,7
930,21,1077.6,475.2,0
930,24,456,516,7
930,25,360,532.8,7
940,21,1068,460.8,0
940,24,427.2,530.4,7
940,25,343.2,542.4,7
950,21,1044,444,0
950,24,415.2,544.8,7
950,25,328.8,556.8,7
960,21,1039.2,432,0
960,24,405.6,561.6,7
960,25,307.2,564,7
970,21,1036.8,415.2,0
970,24,388.8,580.8,7
970,25,271.2,580.8,7
980,21,1024.8,398.4,0
980,24,362.4,604.8,7
980,25,256.8,602.4,7
990,21,1029.6,393.6,0
990,24,355.2,621.6,7
990,25,242.4,621.6,7
1000,21,1024.8,379.2,0
1000,24,338.4,648,7
1000,25,201.6,645.6,7
1010,21,1015.2,374.4,0
1020,21,1024.8,362.4,0
1030,21,1032,364.8,0
1040,21,1029.6,355.2,0
1050,21,1032,345.6,0
1060,21,1032,338.4,0
1060,22,194.4,482.4,6
1060,23,177.6,432,6
1070,21,1022.4,324,0
1070,22,252,463.2,6
1070,23,247.2,429.6,6
1080,21,1029.6,336,0
1080,22,295.2,458.4,6
1080,23,304.8,424.8,6
1090,22,350.4,465.6,6
1090,23,369.6,432,6
1100,22,417.6,458.4,6
1100,23,436.8,415.2,6
1110,22,468,453.6,6
1110,23,501.6,420,6
1120,22,528,448.8,6
1120,23,564,408,6
1130,22,588,448.8,6
1130,23,631.2,410.4,6
1140,22,645.6,444,6
1140,23,696,417.6,6
1150,22,710.4,460.8,6
1150,23,748.8,412.8,6
1160,22,782.4,451.2,6
1160,23,811.2,412.8,6
1170,22,844.8,451.2,6
1170,23,871.2,408,6
1180,22,919.2,444,6
1180,23,933.6,417.6,6
1190,22,969.6,451.2,6
1190,23,979.2,410.4,6
1200,22,1024.8,439.2,6
1200,23,1044,408,6
1210,22,1075.2,444,6
1210,23,1099.2,408,6
1220,22,1116,444,6
1220,23,1152,415.2,6
1230,22,1180.8,434.4,6
1230,23,1197.6,396,6
1240,22,1231.2,439.2,6
1240,23,1252.8,403.2,6
1250,22,1284,436.8,6
1250,23,1300.8,396,6
1260,22,1336.8,422.4,6
1260,23,1375.2,410.4,6
1270,22,1399.2,424.8,6
1270,23,1432.8,403.2,6
